[时间]:2022-04-29 10:59:00,238-[级别]:INFO-[文件]:api_tool_headers.py-[信息]:【读取token成功：Bearer a3ca7b79-eb7d-4f12-adf3-99474d5946ee】
[时间]:2022-04-29 12:30:10,899-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【上传文件File: None】
[时间]:2022-04-29 12:30:10,966-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求开始...start】
[时间]:2022-04-29 12:30:10,967-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求类型Method: patch】
[时间]:2022-04-29 12:30:10,967-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求地址Url: http://123.57.8.247:10000/uaa/v1/api/app/2597/enable】
[时间]:2022-04-29 12:30:10,967-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求头Headers: {'Authorization': 'Bearer 5b97e461-bc87-4a70-b430-7bbbc7e328a5'}】
[时间]:2022-04-29 12:30:10,967-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求数据Data: {'enableFlag': 1}】
[时间]:2022-04-29 12:30:10,967-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【上传文件File: None】
[时间]:2022-04-29 12:30:11,034-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求开始...start】
[时间]:2022-04-29 12:30:11,034-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求类型Method: patch】
[时间]:2022-04-29 12:30:11,034-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求地址Url: http://123.57.8.247:10000/uaa/v1/api/app/2596/enable】
[时间]:2022-04-29 12:30:11,034-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求头Headers: {'Authorization': 'Bearer 5b97e461-bc87-4a70-b430-7bbbc7e328a5'}】
[时间]:2022-04-29 12:30:11,034-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求数据Data: {'enableFlag': 1}】
[时间]:2022-04-29 12:30:11,035-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【上传文件File: None】
[时间]:2022-04-29 12:30:11,102-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求开始...start】
[时间]:2022-04-29 12:30:11,102-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求类型Method: patch】
[时间]:2022-04-29 12:30:11,102-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求地址Url: http://123.57.8.247:10000/uaa/v1/api/app/2595/enable】
[时间]:2022-04-29 12:30:11,102-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求头Headers: {'Authorization': 'Bearer 5b97e461-bc87-4a70-b430-7bbbc7e328a5'}】
[时间]:2022-04-29 12:30:11,102-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求数据Data: {'enableFlag': 1}】
[时间]:2022-04-29 12:30:11,102-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【上传文件File: None】
[时间]:2022-04-29 12:30:11,166-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求开始...start】
[时间]:2022-04-29 12:30:11,166-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求类型Method: patch】
[时间]:2022-04-29 12:30:11,166-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求地址Url: http://123.57.8.247:10000/uaa/v1/api/app/2511/enable】
[时间]:2022-04-29 12:30:11,166-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求头Headers: {'Authorization': 'Bearer 5b97e461-bc87-4a70-b430-7bbbc7e328a5'}】
[时间]:2022-04-29 12:30:11,167-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求数据Data: {'enableFlag': 1}】
[时间]:2022-04-29 12:30:11,167-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【上传文件File: None】
[时间]:2022-04-29 12:30:11,230-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求开始...start】
[时间]:2022-04-29 12:30:11,230-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求类型Method: patch】
[时间]:2022-04-29 12:30:11,230-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求地址Url: http://123.57.8.247:10000/uaa/v1/api/app/2746/enable】
[时间]:2022-04-29 12:30:11,230-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求头Headers: {'Authorization': 'Bearer 5b97e461-bc87-4a70-b430-7bbbc7e328a5'}】
[时间]:2022-04-29 12:30:11,230-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求数据Data: {'enableFlag': 1}】
[时间]:2022-04-29 12:30:11,231-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【上传文件File: None】
[时间]:2022-04-29 12:30:11,294-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求开始...start】
[时间]:2022-04-29 12:30:11,294-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求类型Method: patch】
[时间]:2022-04-29 12:30:11,294-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求地址Url: http://123.57.8.247:10000/uaa/v1/api/app/2745/enable】
[时间]:2022-04-29 12:30:11,294-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求头Headers: {'Authorization': 'Bearer 5b97e461-bc87-4a70-b430-7bbbc7e328a5'}】
[时间]:2022-04-29 12:30:11,294-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求数据Data: {'enableFlag': 1}】
[时间]:2022-04-29 12:30:11,294-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【上传文件File: None】
[时间]:2022-04-29 12:30:11,585-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求开始...start】
[时间]:2022-04-29 12:30:11,585-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求类型Method: patch】
[时间]:2022-04-29 12:30:11,585-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求地址Url: http://123.57.8.247:10000/uaa/v1/api/app/2744/enable】
[时间]:2022-04-29 12:30:11,585-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求头Headers: {'Authorization': 'Bearer 5b97e461-bc87-4a70-b430-7bbbc7e328a5'}】
[时间]:2022-04-29 12:30:11,585-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求数据Data: {'enableFlag': 1}】
[时间]:2022-04-29 12:30:11,585-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【上传文件File: None】
[时间]:2022-04-29 12:30:11,649-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求开始...start】
[时间]:2022-04-29 12:30:11,649-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求类型Method: patch】
[时间]:2022-04-29 12:30:11,650-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求地址Url: http://123.57.8.247:10000/uaa/v1/api/app/2743/enable】
[时间]:2022-04-29 12:30:11,650-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求头Headers: {'Authorization': 'Bearer 5b97e461-bc87-4a70-b430-7bbbc7e328a5'}】
[时间]:2022-04-29 12:30:11,650-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求数据Data: {'enableFlag': 1}】
[时间]:2022-04-29 12:30:11,650-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【上传文件File: None】
[时间]:2022-04-29 12:30:11,714-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求开始...start】
[时间]:2022-04-29 12:30:11,714-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求类型Method: patch】
[时间]:2022-04-29 12:30:11,714-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求地址Url: http://123.57.8.247:10000/uaa/v1/api/app/2634/enable】
[时间]:2022-04-29 12:30:11,714-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求头Headers: {'Authorization': 'Bearer 5b97e461-bc87-4a70-b430-7bbbc7e328a5'}】
[时间]:2022-04-29 12:30:11,714-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求数据Data: {'enableFlag': 1}】
[时间]:2022-04-29 12:30:11,714-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【上传文件File: None】
[时间]:2022-04-29 12:30:11,799-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求开始...start】
[时间]:2022-04-29 12:30:11,799-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求类型Method: patch】
[时间]:2022-04-29 12:30:11,800-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求地址Url: http://123.57.8.247:10000/uaa/v1/api/app/2633/enable】
[时间]:2022-04-29 12:30:11,800-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求头Headers: {'Authorization': 'Bearer 5b97e461-bc87-4a70-b430-7bbbc7e328a5'}】
[时间]:2022-04-29 12:30:11,800-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求数据Data: {'enableFlag': 1}】
[时间]:2022-04-29 12:30:11,800-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【上传文件File: None】
[时间]:2022-04-29 12:30:11,868-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求开始...start】
[时间]:2022-04-29 12:30:11,868-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求类型Method: patch】
[时间]:2022-04-29 12:30:11,868-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求地址Url: http://123.57.8.247:10000/uaa/v1/api/app/2632/enable】
[时间]:2022-04-29 12:30:11,868-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求头Headers: {'Authorization': 'Bearer 5b97e461-bc87-4a70-b430-7bbbc7e328a5'}】
[时间]:2022-04-29 12:30:11,868-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求数据Data: {'enableFlag': 1}】
[时间]:2022-04-29 12:30:11,868-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【上传文件File: None】
[时间]:2022-04-29 12:30:11,931-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求开始...start】
[时间]:2022-04-29 12:30:11,931-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求类型Method: patch】
[时间]:2022-04-29 12:30:11,931-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求地址Url: http://123.57.8.247:10000/uaa/v1/api/app/2631/enable】
[时间]:2022-04-29 12:30:11,932-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求头Headers: {'Authorization': 'Bearer 5b97e461-bc87-4a70-b430-7bbbc7e328a5'}】
[时间]:2022-04-29 12:30:11,932-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求数据Data: {'enableFlag': 1}】
[时间]:2022-04-29 12:30:11,932-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【上传文件File: None】
[时间]:2022-04-29 12:30:11,997-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求开始...start】
[时间]:2022-04-29 12:30:11,997-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求类型Method: patch】
[时间]:2022-04-29 12:30:11,997-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求地址Url: http://123.57.8.247:10000/uaa/v1/api/app/2630/enable】
[时间]:2022-04-29 12:30:11,997-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求头Headers: {'Authorization': 'Bearer 5b97e461-bc87-4a70-b430-7bbbc7e328a5'}】
[时间]:2022-04-29 12:30:11,997-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求数据Data: {'enableFlag': 1}】
[时间]:2022-04-29 12:30:11,997-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【上传文件File: None】
[时间]:2022-04-29 12:30:12,062-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求开始...start】
[时间]:2022-04-29 12:30:12,062-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求类型Method: patch】
[时间]:2022-04-29 12:30:12,063-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求地址Url: http://123.57.8.247:10000/uaa/v1/api/app/2629/enable】
[时间]:2022-04-29 12:30:12,063-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求头Headers: {'Authorization': 'Bearer 5b97e461-bc87-4a70-b430-7bbbc7e328a5'}】
[时间]:2022-04-29 12:30:12,063-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求数据Data: {'enableFlag': 1}】
[时间]:2022-04-29 12:30:12,063-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【上传文件File: None】
[时间]:2022-04-29 12:30:12,129-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求开始...start】
[时间]:2022-04-29 12:30:12,129-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求类型Method: patch】
[时间]:2022-04-29 12:30:12,129-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求地址Url: http://123.57.8.247:10000/uaa/v1/api/app/2628/enable】
[时间]:2022-04-29 12:30:12,129-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求头Headers: {'Authorization': 'Bearer 5b97e461-bc87-4a70-b430-7bbbc7e328a5'}】
[时间]:2022-04-29 12:30:12,129-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求数据Data: {'enableFlag': 1}】
[时间]:2022-04-29 12:30:12,129-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【上传文件File: None】
[时间]:2022-04-29 12:30:12,191-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求开始...start】
[时间]:2022-04-29 12:30:12,191-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求类型Method: patch】
[时间]:2022-04-29 12:30:12,191-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求地址Url: http://123.57.8.247:10000/uaa/v1/api/app/2627/enable】
[时间]:2022-04-29 12:30:12,191-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求头Headers: {'Authorization': 'Bearer 5b97e461-bc87-4a70-b430-7bbbc7e328a5'}】
[时间]:2022-04-29 12:30:12,191-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求数据Data: {'enableFlag': 1}】
[时间]:2022-04-29 12:30:12,192-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【上传文件File: None】
[时间]:2022-04-29 12:30:12,258-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求开始...start】
[时间]:2022-04-29 12:30:12,258-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求类型Method: patch】
[时间]:2022-04-29 12:30:12,258-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求地址Url: http://123.57.8.247:10000/uaa/v1/api/app/2626/enable】
[时间]:2022-04-29 12:30:12,258-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求头Headers: {'Authorization': 'Bearer 5b97e461-bc87-4a70-b430-7bbbc7e328a5'}】
[时间]:2022-04-29 12:30:12,258-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求数据Data: {'enableFlag': 1}】
[时间]:2022-04-29 12:30:12,258-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【上传文件File: None】
[时间]:2022-04-29 12:30:12,319-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求开始...start】
[时间]:2022-04-29 12:30:12,319-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求类型Method: patch】
[时间]:2022-04-29 12:30:12,319-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求地址Url: http://123.57.8.247:10000/uaa/v1/api/app/2625/enable】
[时间]:2022-04-29 12:30:12,319-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求头Headers: {'Authorization': 'Bearer 5b97e461-bc87-4a70-b430-7bbbc7e328a5'}】
[时间]:2022-04-29 12:30:12,319-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求数据Data: {'enableFlag': 1}】
[时间]:2022-04-29 12:30:12,319-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【上传文件File: None】
[时间]:2022-04-29 12:30:12,382-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求开始...start】
[时间]:2022-04-29 12:30:12,382-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求类型Method: patch】
[时间]:2022-04-29 12:30:12,382-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求地址Url: http://123.57.8.247:10000/uaa/v1/api/app/2624/enable】
[时间]:2022-04-29 12:30:12,382-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求头Headers: {'Authorization': 'Bearer 5b97e461-bc87-4a70-b430-7bbbc7e328a5'}】
[时间]:2022-04-29 12:30:12,383-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求数据Data: {'enableFlag': 1}】
[时间]:2022-04-29 12:30:12,383-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【上传文件File: None】
[时间]:2022-04-29 12:30:12,448-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求开始...start】
[时间]:2022-04-29 12:30:12,448-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求类型Method: patch】
[时间]:2022-04-29 12:30:12,449-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求地址Url: http://123.57.8.247:10000/uaa/v1/api/app/2622/enable】
[时间]:2022-04-29 12:30:12,449-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求头Headers: {'Authorization': 'Bearer 5b97e461-bc87-4a70-b430-7bbbc7e328a5'}】
[时间]:2022-04-29 12:30:12,449-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求数据Data: {'enableFlag': 1}】
[时间]:2022-04-29 12:30:12,449-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【上传文件File: None】
[时间]:2022-04-29 12:30:12,511-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求开始...start】
[时间]:2022-04-29 12:30:12,511-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求类型Method: patch】
[时间]:2022-04-29 12:30:12,511-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求地址Url: http://123.57.8.247:10000/uaa/v1/api/app/2621/enable】
[时间]:2022-04-29 12:30:12,512-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求头Headers: {'Authorization': 'Bearer 5b97e461-bc87-4a70-b430-7bbbc7e328a5'}】
[时间]:2022-04-29 12:30:12,512-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求数据Data: {'enableFlag': 1}】
[时间]:2022-04-29 12:30:12,512-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【上传文件File: None】
[时间]:2022-04-29 12:30:12,574-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求开始...start】
[时间]:2022-04-29 12:30:12,574-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求类型Method: patch】
[时间]:2022-04-29 12:30:12,574-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求地址Url: http://123.57.8.247:10000/uaa/v1/api/app/2620/enable】
[时间]:2022-04-29 12:30:12,574-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求头Headers: {'Authorization': 'Bearer 5b97e461-bc87-4a70-b430-7bbbc7e328a5'}】
[时间]:2022-04-29 12:30:12,574-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求数据Data: {'enableFlag': 1}】
[时间]:2022-04-29 12:30:12,574-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【上传文件File: None】
[时间]:2022-04-29 12:30:12,638-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求开始...start】
[时间]:2022-04-29 12:30:12,638-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求类型Method: patch】
[时间]:2022-04-29 12:30:12,639-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求地址Url: http://123.57.8.247:10000/uaa/v1/api/app/2619/enable】
[时间]:2022-04-29 12:30:12,639-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求头Headers: {'Authorization': 'Bearer 5b97e461-bc87-4a70-b430-7bbbc7e328a5'}】
[时间]:2022-04-29 12:30:12,639-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求数据Data: {'enableFlag': 1}】
[时间]:2022-04-29 12:30:12,639-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【上传文件File: None】
[时间]:2022-04-29 12:30:12,717-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求开始...start】
[时间]:2022-04-29 12:30:12,717-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求类型Method: patch】
[时间]:2022-04-29 12:30:12,717-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求地址Url: http://123.57.8.247:10000/uaa/v1/api/app/2618/enable】
[时间]:2022-04-29 12:30:12,717-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求头Headers: {'Authorization': 'Bearer 5b97e461-bc87-4a70-b430-7bbbc7e328a5'}】
[时间]:2022-04-29 12:30:12,718-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求数据Data: {'enableFlag': 1}】
[时间]:2022-04-29 12:30:12,718-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【上传文件File: None】
[时间]:2022-04-29 12:30:12,802-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求开始...start】
[时间]:2022-04-29 12:30:12,802-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求类型Method: patch】
[时间]:2022-04-29 12:30:12,802-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求地址Url: http://123.57.8.247:10000/uaa/v1/api/app/2617/enable】
[时间]:2022-04-29 12:30:12,802-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求头Headers: {'Authorization': 'Bearer 5b97e461-bc87-4a70-b430-7bbbc7e328a5'}】
[时间]:2022-04-29 12:30:12,802-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求数据Data: {'enableFlag': 1}】
[时间]:2022-04-29 12:30:12,803-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【上传文件File: None】
[时间]:2022-04-29 12:30:12,867-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求开始...start】
[时间]:2022-04-29 12:30:12,867-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求类型Method: patch】
[时间]:2022-04-29 12:30:12,868-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求地址Url: http://123.57.8.247:10000/uaa/v1/api/app/2616/enable】
[时间]:2022-04-29 12:30:12,868-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求头Headers: {'Authorization': 'Bearer 5b97e461-bc87-4a70-b430-7bbbc7e328a5'}】
[时间]:2022-04-29 12:30:12,868-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求数据Data: {'enableFlag': 1}】
[时间]:2022-04-29 12:30:12,868-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【上传文件File: None】
[时间]:2022-04-29 12:30:12,933-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求开始...start】
[时间]:2022-04-29 12:30:12,933-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求类型Method: patch】
[时间]:2022-04-29 12:30:12,933-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求地址Url: http://123.57.8.247:10000/uaa/v1/api/app/2615/enable】
[时间]:2022-04-29 12:30:12,933-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求头Headers: {'Authorization': 'Bearer 5b97e461-bc87-4a70-b430-7bbbc7e328a5'}】
[时间]:2022-04-29 12:30:12,934-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求数据Data: {'enableFlag': 1}】
[时间]:2022-04-29 12:30:12,934-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【上传文件File: None】
[时间]:2022-04-29 12:30:13,002-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求开始...start】
[时间]:2022-04-29 12:30:13,002-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求类型Method: patch】
[时间]:2022-04-29 12:30:13,002-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求地址Url: http://123.57.8.247:10000/uaa/v1/api/app/2614/enable】
[时间]:2022-04-29 12:30:13,002-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求头Headers: {'Authorization': 'Bearer 5b97e461-bc87-4a70-b430-7bbbc7e328a5'}】
[时间]:2022-04-29 12:30:13,002-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求数据Data: {'enableFlag': 1}】
[时间]:2022-04-29 12:30:13,002-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【上传文件File: None】
[时间]:2022-04-29 12:30:13,069-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求开始...start】
[时间]:2022-04-29 12:30:13,069-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求类型Method: patch】
[时间]:2022-04-29 12:30:13,069-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求地址Url: http://123.57.8.247:10000/uaa/v1/api/app/2613/enable】
[时间]:2022-04-29 12:30:13,069-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求头Headers: {'Authorization': 'Bearer 5b97e461-bc87-4a70-b430-7bbbc7e328a5'}】
[时间]:2022-04-29 12:30:13,069-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求数据Data: {'enableFlag': 1}】
[时间]:2022-04-29 12:30:13,069-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【上传文件File: None】
[时间]:2022-04-29 12:30:13,138-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求开始...start】
[时间]:2022-04-29 12:30:13,138-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求类型Method: patch】
[时间]:2022-04-29 12:30:13,138-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求地址Url: http://123.57.8.247:10000/uaa/v1/api/app/2612/enable】
[时间]:2022-04-29 12:30:13,138-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求头Headers: {'Authorization': 'Bearer 5b97e461-bc87-4a70-b430-7bbbc7e328a5'}】
[时间]:2022-04-29 12:30:13,138-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求数据Data: {'enableFlag': 1}】
[时间]:2022-04-29 12:30:13,138-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【上传文件File: None】
[时间]:2022-04-29 12:30:13,204-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求开始...start】
[时间]:2022-04-29 12:30:13,204-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求类型Method: patch】
[时间]:2022-04-29 12:30:13,205-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求地址Url: http://123.57.8.247:10000/uaa/v1/api/app/2611/enable】
[时间]:2022-04-29 12:30:13,205-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求头Headers: {'Authorization': 'Bearer 5b97e461-bc87-4a70-b430-7bbbc7e328a5'}】
[时间]:2022-04-29 12:30:13,205-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求数据Data: {'enableFlag': 1}】
[时间]:2022-04-29 12:30:13,205-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【上传文件File: None】
[时间]:2022-04-29 12:30:13,272-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求开始...start】
[时间]:2022-04-29 12:30:13,272-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求类型Method: patch】
[时间]:2022-04-29 12:30:13,272-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求地址Url: http://123.57.8.247:10000/uaa/v1/api/app/2610/enable】
[时间]:2022-04-29 12:30:13,272-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求头Headers: {'Authorization': 'Bearer 5b97e461-bc87-4a70-b430-7bbbc7e328a5'}】
[时间]:2022-04-29 12:30:13,272-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求数据Data: {'enableFlag': 1}】
[时间]:2022-04-29 12:30:13,272-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【上传文件File: None】
